# table	grantee	privileges
accounting_periods	anon	REFERENCES,TRIGGER,TRUNCATE
accounting_periods	app_user	DELETE,INSERT,SELECT,UPDATE
accounting_periods	authenticated	REFERENCES,TRIGGER,TRUNCATE
accounting_periods	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
accounting_periods	service_role	REFERENCES,TRIGGER,TRUNCATE
audit_log	anon	REFERENCES,TRIGGER,TRUNCATE
audit_log	app_user	DELETE,INSERT,SELECT,UPDATE
audit_log	authenticated	REFERENCES,TRIGGER,TRUNCATE
audit_log	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
audit_log	service_role	REFERENCES,TRIGGER,TRUNCATE
bank_accounts	anon	REFERENCES,TRIGGER,TRUNCATE
bank_accounts	app_user	DELETE,INSERT,SELECT,UPDATE
bank_accounts	authenticated	REFERENCES,TRIGGER,TRUNCATE
bank_accounts	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
bank_accounts	service_role	REFERENCES,TRIGGER,TRUNCATE
bank_reconciliation_rules	anon	REFERENCES,TRIGGER,TRUNCATE
bank_reconciliation_rules	app_user	DELETE,INSERT,SELECT,UPDATE
bank_reconciliation_rules	authenticated	REFERENCES,TRIGGER,TRUNCATE
bank_reconciliation_rules	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
bank_reconciliation_rules	service_role	REFERENCES,TRIGGER,TRUNCATE
bank_transactions	anon	REFERENCES,TRIGGER,TRUNCATE
bank_transactions	app_user	DELETE,INSERT,SELECT,UPDATE
bank_transactions	authenticated	REFERENCES,TRIGGER,TRUNCATE
bank_transactions	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
bank_transactions	service_role	REFERENCES,TRIGGER,TRUNCATE
bill_lines	anon	REFERENCES,TRIGGER,TRUNCATE
bill_lines	app_user	DELETE,INSERT,SELECT,UPDATE
bill_lines	authenticated	REFERENCES,TRIGGER,TRUNCATE
bill_lines	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
bill_lines	service_role	REFERENCES,TRIGGER,TRUNCATE
bills	anon	REFERENCES,TRIGGER,TRUNCATE
bills	app_user	DELETE,INSERT,SELECT,UPDATE
bills	authenticated	REFERENCES,TRIGGER,TRUNCATE
bills	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
bills	service_role	REFERENCES,TRIGGER,TRUNCATE
chart_of_accounts	anon	REFERENCES,TRIGGER,TRUNCATE
chart_of_accounts	app_user	DELETE,INSERT,SELECT,UPDATE
chart_of_accounts	authenticated	REFERENCES,TRIGGER,TRUNCATE
chart_of_accounts	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
chart_of_accounts	service_role	REFERENCES,TRIGGER,TRUNCATE
clients	anon	REFERENCES,TRIGGER,TRUNCATE
clients	app_user	DELETE,INSERT,SELECT,UPDATE
clients	authenticated	REFERENCES,TRIGGER,TRUNCATE
clients	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
clients	service_role	REFERENCES,TRIGGER,TRUNCATE
compensation_allowances	anon	REFERENCES,TRIGGER,TRUNCATE
compensation_allowances	app_user	DELETE,INSERT,SELECT,UPDATE
compensation_allowances	authenticated	REFERENCES,TRIGGER,TRUNCATE
compensation_allowances	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_allowances	service_role	REFERENCES,TRIGGER,TRUNCATE
compensation_base	anon	REFERENCES,TRIGGER,TRUNCATE
compensation_base	app_user	DELETE,INSERT,SELECT,UPDATE
compensation_base	authenticated	REFERENCES,TRIGGER,TRUNCATE
compensation_base	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_base	service_role	REFERENCES,TRIGGER,TRUNCATE
compensation_equity	anon	REFERENCES,TRIGGER,TRUNCATE
compensation_equity	app_user	DELETE,INSERT,SELECT,UPDATE
compensation_equity	authenticated	REFERENCES,TRIGGER,TRUNCATE
compensation_equity	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_equity	service_role	REFERENCES,TRIGGER,TRUNCATE
compensation_premiums	anon	REFERENCES,TRIGGER,TRUNCATE
compensation_premiums	app_user	DELETE,INSERT,SELECT,UPDATE
compensation_premiums	authenticated	REFERENCES,TRIGGER,TRUNCATE
compensation_premiums	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_premiums	service_role	REFERENCES,TRIGGER,TRUNCATE
compensation_variable	anon	REFERENCES,TRIGGER,TRUNCATE
compensation_variable	app_user	DELETE,INSERT,SELECT,UPDATE
compensation_variable	authenticated	REFERENCES,TRIGGER,TRUNCATE
compensation_variable	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_variable	service_role	REFERENCES,TRIGGER,TRUNCATE
compensation_work_schedules	anon	REFERENCES,TRIGGER,TRUNCATE
compensation_work_schedules	app_user	DELETE,INSERT,SELECT,UPDATE
compensation_work_schedules	authenticated	REFERENCES,TRIGGER,TRUNCATE
compensation_work_schedules	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_work_schedules	service_role	REFERENCES,TRIGGER,TRUNCATE
cross_module_links	anon	REFERENCES,TRIGGER,TRUNCATE
cross_module_links	app_user	DELETE,INSERT,SELECT,UPDATE
cross_module_links	authenticated	REFERENCES,TRIGGER,TRUNCATE
cross_module_links	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
cross_module_links	service_role	REFERENCES,TRIGGER,TRUNCATE
custom_field_definitions	anon	REFERENCES,TRIGGER,TRUNCATE
