# schema	function	args	returns	volatility	security_definer	body_sha256
app	current_tenant_id		uuid	s	f	d16e70b3fa064c5568c93bc94da938dfc109d1bb754ec730355c16c0cc006d0c
app	set_updated_at		trigger	v	f	db556e72a201642c839b1a50f42540dce21a131ffc577af7c270340f4473af8c
public	custom_access_token_hook	event jsonb	jsonb	s	f	5563e812038f9fdea2ddfcea239b08aed89521c1e059bf4ddd5aff0f4a725815
public	gin_btree_consistent	internal, smallint, anyelement, integer, internal, internal	boolean	i	f	50d6ab2177d127b47dcb356023482c0eb8ce0c5c309e3ea0fe968489ff249aa7
public	gin_compare_prefix_anyenum	anyenum, anyenum, smallint, internal	integer	i	f	88701f6c7b0b9d4f1d79feb47b3d38074f3b986db1c99e289ea57ce1ee5c1aa1
public	gin_compare_prefix_bit	bit, bit, smallint, internal	integer	i	f	6a1f4ac3ef85c27e7e8f67d500cbd380dc361bce88285db6ccdeaa4b539f5851
public	gin_compare_prefix_bool	boolean, boolean, smallint, internal	integer	i	f	1dd8e4fdaeaedb30aaccc59fdbe3ea1571b0fdaec0c45ea0e6e760129a6c838d
public	gin_compare_prefix_bpchar	character, character, smallint, internal	integer	i	f	c991d29c03038802f0ab5d9841700f6208265ab9f1731d54573c65572bf80b63
public	gin_compare_prefix_bytea	bytea, bytea, smallint, internal	integer	i	f	6562bfd285eede494d21d8e4edeedbda23bd9be621456fd92c655cb61a18e7ed
public	gin_compare_prefix_char	"char", "char", smallint, internal	integer	i	f	57cdbfbb26c8873dd5a15b878858182b2f2b52d2163c877196eec7ca2649ae55
public	gin_compare_prefix_cidr	cidr, cidr, smallint, internal	integer	i	f	847366c2a2f9357278cf59f4f2217b78d2ea967153411f6e59d910b23622684e
public	gin_compare_prefix_date	date, date, smallint, internal	integer	i	f	58e79da07d61bf6d1a92c7538c8c52b989b9c82c098653323f59ce3a305ea584
public	gin_compare_prefix_float4	real, real, smallint, internal	integer	i	f	e9684b49c899f4c4a387117950883e313024deef1ef2bca21eeca6e121e7a209
public	gin_compare_prefix_float8	double precision, double precision, smallint, internal	integer	i	f	fd9c341c47c25c416d8491d035fbb8eac5008a6ad671aa67b6de94dbe617c920
public	gin_compare_prefix_inet	inet, inet, smallint, internal	integer	i	f	ebc92e6d28a8ca8b221b21a9d9663f2064553519dea561b4304e3c9ae9e43d70
public	gin_compare_prefix_int2	smallint, smallint, smallint, internal	integer	i	f	f8efab53be5cdcdd5c9b3fd1956622d0a247ee78ab621b8af641c562089f3fa5
public	gin_compare_prefix_int4	integer, integer, smallint, internal	integer	i	f	a4de8d9caf0e97612468094f61f8ea9ae1b33b16bfcc79697b2824a326cdbe8c
public	gin_compare_prefix_int8	bigint, bigint, smallint, internal	integer	i	f	12374c0a545e00fcc77f1a2add8fe9a6f0c3056b174b7b44bb957032a03b5202
public	gin_compare_prefix_interval	interval, interval, smallint, internal	integer	i	f	43cc442f5840a0bda549f70b642e320577265a98fa4d9dd08da47feb44963865
public	gin_compare_prefix_macaddr	macaddr, macaddr, smallint, internal	integer	i	f	589ae8409980ee0435f5a04bd8cf4d1c1ef7051b62c27c1c7f19eac6b61b8bd0
public	gin_compare_prefix_macaddr8	macaddr8, macaddr8, smallint, internal	integer	i	f	3d0d0f02e879ad60cac7cced491e65034543b1b8ccf5cdd02f09b20fa93e9e9d
public	gin_compare_prefix_money	money, money, smallint, internal	integer	i	f	662d40262cf7f174ae28c4b48354c528c82963b8d734372752e44979d557f529
public	gin_compare_prefix_name	name, name, smallint, internal	integer	i	f	0e70819267c8b4c1ed134bddddf921904e3f8c0074faaa99dec8f51fe4e89cb7
public	gin_compare_prefix_numeric	numeric, numeric, smallint, internal	integer	i	f	434b1e463e3eaf565d47788fccea8f26270cf5f37fb014cb2f4170467de60b2f
public	gin_compare_prefix_oid	oid, oid, smallint, internal	integer	i	f	81fa75f8954469a43c8b7442b9b9ad38bb6458a0d7967c07ff0a9b122243b8e5
public	gin_compare_prefix_text	text, text, smallint, internal	integer	i	f	fb7780bf0a5732dccfd1e68c5bd4696e3b2c3722b9444e76a742cd50bfbccd99
public	gin_compare_prefix_time	time without time zone, time without time zone, smallint, internal	integer	i	f	e9346fc33ee4b61030d2969973d5b6d2fa792194ec8cec5a61a49e114859eb95
public	gin_compare_prefix_timestamp	timestamp without time zone, timestamp without time zone, smallint, internal	integer	i	f	dcc5773cbb2d0e06ce23d6bff1f9a4bf645d5e3fd28a99dbeccfb7c75a86ede4
