# table	rls_enabled	rls_forced
accounting_periods	t	t
audit_log	t	t
bank_accounts	t	t
bank_reconciliation_rules	t	t
bank_transactions	t	t
bill_lines	t	t
bills	t	t
chart_of_accounts	t	t
clients	t	t
compensation_allowances	t	t
compensation_base	t	t
compensation_equity	t	t
compensation_premiums	t	t
compensation_variable	t	t
compensation_work_schedules	t	t
cross_module_links	t	t
custom_field_definitions	t	t
customers	t	t
employee_assets	t	t
employee_bank_accounts	t	t
employee_certifications	t	t
employee_group_members	t	t
employee_group_roles	t	t
employee_training_records	t	t
employee_user_groups	t	t
employees	t	t
employment_terms	t	t
exchange_rates	t	t
expenses	t	t
firm_benefit_items	t	t
firm_benefits_packages	t	t
firm_benefits_plans	t	t
firm_departments	t	t
firm_holidays	t	t
firm_job_levels	t	t
firm_job_titles	t	t
firm_locations	t	t
firm_payroll_policies	t	t
hr_attendance	t	t
hr_benefits_enrollments	t	t
hr_change_requests	t	t
hr_company_news	t	t
hr_emergency_contacts	t	t
hr_employee_documents	t	t
hr_employment_history	t	t
hr_feedback	t	t
hr_goals	t	t
hr_onboarding_tasks	t	t
hr_onboarding_template_tasks	t	t
hr_onboarding_templates	t	t
hr_review_cycles	t	t
hr_reviews	t	t
hr_survey_responses	t	t
hr_surveys	t	t
hr_time_off_balances	t	t
hr_time_off_policies	t	t
hr_time_off_requests	t	t
invoice_lines	t	t
invoices	t	t
jobs	t	t
journal_entries	t	t
journal_entry_lines	t	t
payment_allocations	t	t
payments	t	t
payroll_deduction_definitions	t	t
payroll_employee_deductions	t	t
payroll_india_salary_structure	t	t
payroll_india_tax_declarations	t	t
payroll_pay_schedules	t	t
payroll_run_employees	t	t
payroll_runs	t	t
payroll_tax_deposits	t	t
payroll_tax_rates	t	t
payroll_tax_withholding_certificates	t	t
pm_automation_executions	t	t
pm_automations	t	t
pm_dashboard_widgets	t	t
pm_dashboards	t	t
pm_objectives	t	t
pm_project_templates	t	t
pm_task_attachments	t	t
pm_task_comments	t	t
pm_task_time_entries	t	t
projects	t	t
tasks	t	t
tenant_settings	t	t
tenant_users	t	t
tenants	t	t
ticketing_attachments	t	t
ticketing_business_areas	t	t
ticketing_tickets	t	t
ticketing_updates	t	t
time_tracking_billable_expenses	t	t
time_tracking_entries	t	t
time_tracking_hourly_rates	t	t
time_tracking_timesheets	t	t
translations	t	t
vendors	t	t
