# table	pos	column	type	not_null	default
accounting_periods	1	id	uuid	t	gen_random_uuid()
accounting_periods	2	tenant_id	uuid	t	
accounting_periods	3	period_name	character varying(50)	t	
accounting_periods	4	period_type	period_type	t	
accounting_periods	5	start_date	date	t	
accounting_periods	6	end_date	date	t	
accounting_periods	7	fiscal_year	integer	t	
accounting_periods	8	status	character varying(50)	f	'open'::character varying
accounting_periods	9	closed_by	uuid	f	
accounting_periods	10	closed_at	timestamp with time zone	f	
accounting_periods	11	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
accounting_periods	12	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
audit_log	1	id	bigint	t	
audit_log	2	tenant_id	uuid	t	
audit_log	3	actor_user_id	uuid	f	
audit_log	4	actor_employee_id	uuid	f	
audit_log	5	action	text	t	
audit_log	6	entity_type	text	t	
audit_log	7	entity_id	uuid	f	
audit_log	8	module	text	f	
audit_log	9	changes	jsonb	f	
audit_log	10	ip_address	inet	f	
audit_log	11	user_agent	text	f	
audit_log	12	occurred_at	timestamp with time zone	t	now()
bank_accounts	1	id	uuid	t	gen_random_uuid()
bank_accounts	2	tenant_id	uuid	t	
bank_accounts	3	account_name	character varying(255)	t	
bank_accounts	6	bank_name	character varying(255)	t	
bank_accounts	7	bank_branch	character varying(255)	f	
bank_accounts	11	currency	character varying(3)	t	
bank_accounts	12	current_balance	numeric(15,2)	f	0
bank_accounts	13	available_balance	numeric(15,2)	f	0
bank_accounts	14	gl_account_id	uuid	f	
bank_accounts	15	feed_enabled	boolean	f	false
bank_accounts	16	feed_provider	character varying(50)	f	
bank_accounts	17	feed_connection_id	character varying(255)	f	
bank_accounts	18	last_synced_at	timestamp with time zone	f	
bank_accounts	19	is_active	boolean	f	true
bank_accounts	20	notes	text	f	
bank_accounts	21	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
bank_accounts	22	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
bank_accounts	23	created_by	uuid	f	
bank_accounts	24	updated_by	uuid	f	
bank_accounts	25	account_number_ct	text	f	
bank_accounts	26	iban_ct	text	f	
bank_accounts	27	routing_number_ct	text	f	
bank_accounts	28	swift_code_ct	text	f	
bank_reconciliation_rules	1	id	uuid	t	gen_random_uuid()
bank_reconciliation_rules	2	tenant_id	uuid	t	
bank_reconciliation_rules	3	bank_account_id	uuid	f	
bank_reconciliation_rules	4	rule_name	character varying(255)	t	
bank_reconciliation_rules	5	is_active	boolean	f	true
bank_reconciliation_rules	6	description_contains	character varying(255)	f	
bank_reconciliation_rules	7	description_regex	character varying(500)	f	
bank_reconciliation_rules	8	amount_equals	numeric(15,2)	f	
bank_reconciliation_rules	9	amount_tolerance	numeric(15,2)	f	0
bank_reconciliation_rules	10	amount_min	numeric(15,2)	f	
bank_reconciliation_rules	11	amount_max	numeric(15,2)	f	
bank_reconciliation_rules	12	transaction_type	character varying(50)	f	
bank_reconciliation_rules	13	action_type	character varying(50)	t	
bank_reconciliation_rules	14	category_account_id	uuid	f	
bank_reconciliation_rules	15	vendor_id	uuid	f	
bank_reconciliation_rules	16	customer_id	uuid	f	
bank_reconciliation_rules	17	auto_match	boolean	f	false
bank_reconciliation_rules	18	create_transaction	boolean	f	false
bank_reconciliation_rules	19	tracking_categories	jsonb	f	
bank_reconciliation_rules	20	priority	integer	f	0
bank_reconciliation_rules	21	times_applied	integer	f	0
bank_reconciliation_rules	22	last_applied_at	timestamp with time zone	f	
bank_reconciliation_rules	23	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
bank_reconciliation_rules	24	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
bank_reconciliation_rules	25	created_by	uuid	f	
bank_reconciliation_rules	26	updated_by	uuid	f	
bank_transactions	1	tenant_id	uuid	t	
bank_transactions	2	id	uuid	t	gen_random_uuid()
bank_transactions	3	bank_account_id	uuid	t	
bank_transactions	4	transaction_date	date	t	
bank_transactions	5	value_date	date	f	
bank_transactions	6	description	text	t	
bank_transactions	7	reference	character varying(100)	f	
bank_transactions	8	amount	numeric(15,2)	t	
bank_transactions	9	balance	numeric(15,2)	f	
bank_transactions	10	transaction_type	character varying(50)	f	
bank_transactions	11	category_account_id	uuid	f	
bank_transactions	12	status	character varying(50)	f	'unmatched'::character varying
bank_transactions	13	matched_to_type	character varying(50)	f	
bank_transactions	14	matched_to_id	uuid	f	
bank_transactions	15	match_confidence	numeric(3,2)	f	
bank_transactions	16	matching_rule_id	uuid	f	
bank_transactions	17	imported_at	timestamp with time zone	f	
bank_transactions	18	bank_transaction_id	character varying(255)	f	
bank_transactions	19	notes	text	f	
bank_transactions	20	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
bank_transactions	21	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
bill_lines	1	tenant_id	uuid	t	
bill_lines	2	id	uuid	t	gen_random_uuid()
bill_lines	3	bill_id	uuid	t	
bill_lines	4	line_number	integer	t	
bill_lines	5	description	text	t	
bill_lines	6	quantity	numeric(10,2)	t	1
bill_lines	7	unit_price	numeric(15,2)	t	
bill_lines	8	amount	numeric(15,2)	t	
bill_lines	9	tax_rate_id	uuid	f	
bill_lines	10	tax_amount	numeric(15,2)	f	0
bill_lines	11	expense_account_id	uuid	t	
bill_lines	12	tracking_categories	jsonb	f	
bill_lines	13	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
bills	1	id	uuid	t	gen_random_uuid()
bills	2	tenant_id	uuid	t	
bills	3	vendor_id	uuid	t	
bills	4	bill_number	character varying(50)	t	
bills	5	reference	character varying(100)	f	
bills	6	bill_date	date	t	
bills	7	due_date	date	t	
bills	8	currency	character varying(3)	t	
bills	9	exchange_rate	numeric(12,6)	f	1.0
bills	10	base_currency	character varying(3)	t	
bills	11	subtotal	numeric(15,2)	t	
bills	12	tax_total	numeric(15,2)	f	0
bills	13	total	numeric(15,2)	t	
bills	14	amount_paid	numeric(15,2)	f	0
bills	15	amount_due	numeric(15,2)	t	
bills	16	base_subtotal	numeric(15,2)	t	
bills	17	base_tax_total	numeric(15,2)	f	0
bills	18	base_total	numeric(15,2)	t	
bills	19	base_amount_paid	numeric(15,2)	f	0
bills	20	base_amount_due	numeric(15,2)	t	
bills	21	status	character varying(50)	f	'draft'::character varying
bills	22	requires_approval	boolean	f	true
bills	23	approved_by	uuid	f	
bills	24	approved_at	timestamp with time zone	f	
bills	25	payment_terms	character varying(50)	f	
bills	26	notes	text	f	
bills	27	file_url	text	f	
bills	28	ocr_processed	boolean	f	false
bills	29	ocr_data	jsonb	f	
bills	30	tracking_categories	jsonb	f	
bills	31	payment_scheduled_date	date	f	
bills	32	journal_entry_id	uuid	f	
bills	33	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
bills	34	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
bills	35	created_by	uuid	f	
bills	36	updated_by	uuid	f	
chart_of_accounts	1	id	uuid	t	gen_random_uuid()
chart_of_accounts	2	tenant_id	uuid	t	
chart_of_accounts	3	account_code	character varying(50)	t	
chart_of_accounts	4	account_name	character varying(255)	t	
chart_of_accounts	5	account_name_i18n	jsonb	f	
chart_of_accounts	6	account_type	account_type	t	
chart_of_accounts	7	account_subtype	character varying(50)	f	
chart_of_accounts	8	parent_account_id	uuid	f	
chart_of_accounts	9	currency	character varying(3)	f	
chart_of_accounts	10	is_bank_account	boolean	f	false
chart_of_accounts	11	is_active	boolean	f	true
chart_of_accounts	12	enable_payments	boolean	f	false
chart_of_accounts	13	tax_rate_id	uuid	f	
chart_of_accounts	14	description	text	f	
chart_of_accounts	15	description_i18n	jsonb	f	
chart_of_accounts	16	current_balance	numeric(15,2)	f	0
chart_of_accounts	17	current_balance_base	numeric(15,2)	f	0
chart_of_accounts	18	created_at	timestamp with time zone	f	CURRENT_TIMESTAMP
chart_of_accounts	19	updated_at	timestamp with time zone	f	CURRENT_TIMESTAMP
chart_of_accounts	20	created_by	uuid	f	
chart_of_accounts	21	updated_by	uuid	f	
clients	1	id	uuid	t	gen_random_uuid()
clients	2	tenant_id	uuid	t	
clients	3	client_name	text	t	
clients	4	client_code	text	f	
clients	5	legal_entity_name	text	f	
clients	6	client_type	text	f	'corporate'::text
clients	7	industry	text	f	
clients	8	status	text	f	'active'::text
clients	9	is_active	boolean	f	true
clients	10	primary_contact_name	text	f	
clients	11	primary_contact_email	text	f	
clients	12	primary_contact_phone	text	f	
clients	13	primary_contact_title	text	f	
clients	14	billing_contact_name	text	f	
clients	15	billing_contact_email	text	f	
clients	16	billing_contact_phone	text	f	
clients	17	address_line1	text	f	
clients	18	address_line2	text	f	
clients	19	city	text	f	
clients	20	state_province	text	f	
clients	21	postal_code	text	f	
clients	22	country	text	f	'US'::text
clients	23	website	text	f	
clients	24	company_size	text	f	
clients	25	currency	text	f	'USD'::text
clients	26	payment_terms	text	f	'net_30'::text
clients	27	default_hourly_rate	numeric(18,4)	f	
clients	29	portal_access_enabled	boolean	f	false
clients	30	account_manager_id	uuid	f	
clients	31	acquisition_date	date	f	
clients	32	acquisition_source	text	f	
clients	33	custom_fields	jsonb	f	'{}'::jsonb
clients	34	notes	text	f	
clients	35	created_at	timestamp with time zone	t	now()
clients	36	updated_at	timestamp with time zone	t	now()
clients	37	created_by	text	t	
clients	38	version	integer	f	1
clients	39	tax_id_ct	text	f	
compensation_allowances	1	id	uuid	t	gen_random_uuid()
compensation_allowances	2	tenant_id	uuid	t	
compensation_allowances	3	employee_id	uuid	t	
compensation_allowances	4	allowance_type	allowance_type	t	
compensation_allowances	5	allowance_name	character varying(255)	f	
compensation_allowances	6	description	text	f	
compensation_allowances	7	effective_from	date	t	
compensation_allowances	8	effective_to	date	f	
