# table	constraint	type	definition
accounting_periods	accounting_periods_pkey	p	PRIMARY KEY (id)
accounting_periods	accounting_periods_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
audit_log	audit_log_pkey	p	PRIMARY KEY (id)
audit_log	audit_log_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
bank_accounts	bank_accounts_pkey	p	PRIMARY KEY (id)
bank_accounts	bank_accounts_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
bank_accounts	fk_bank_accounts_gl_account_id	f	FOREIGN KEY (gl_account_id) REFERENCES chart_of_accounts(id)
bank_reconciliation_rules	bank_reconciliation_rules_pkey	p	PRIMARY KEY (id)
bank_reconciliation_rules	bank_reconciliation_rules_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
bank_reconciliation_rules	fk_bank_reconciliation_rules_bank_account_id	f	FOREIGN KEY (bank_account_id) REFERENCES bank_accounts(id)
bank_reconciliation_rules	fk_bank_reconciliation_rules_category_account_id	f	FOREIGN KEY (category_account_id) REFERENCES chart_of_accounts(id)
bank_reconciliation_rules	fk_bank_reconciliation_rules_customer_id	f	FOREIGN KEY (customer_id) REFERENCES customers(id)
bank_reconciliation_rules	fk_bank_reconciliation_rules_vendor_id	f	FOREIGN KEY (vendor_id) REFERENCES vendors(id)
bank_transactions	bank_transactions_pkey	p	PRIMARY KEY (id)
bank_transactions	bank_transactions_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
bank_transactions	fk_bank_transactions_bank_account_id	f	FOREIGN KEY (bank_account_id) REFERENCES bank_accounts(id) ON DELETE CASCADE
bank_transactions	fk_bank_transactions_category_account_id	f	FOREIGN KEY (category_account_id) REFERENCES chart_of_accounts(id)
bill_lines	bill_lines_pkey	p	PRIMARY KEY (id)
bill_lines	bill_lines_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
bill_lines	fk_bill_lines_bill_id	f	FOREIGN KEY (bill_id) REFERENCES bills(id) ON DELETE CASCADE
bill_lines	fk_bill_lines_expense_account_id	f	FOREIGN KEY (expense_account_id) REFERENCES chart_of_accounts(id)
bill_lines	fk_bill_lines_tax_rate_id	f	FOREIGN KEY (tax_rate_id) REFERENCES payroll_tax_rates(id)
bills	bills_pkey	p	PRIMARY KEY (id)
bills	bills_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
bills	ck_bills_amounts_reconcile	c	CHECK (((subtotal >= (0)::numeric) AND (tax_total >= (0)::numeric) AND (total >= (0)::numeric) AND (amount_paid >= (0)::numeric) AND (amount_due >= (0)::numeric) AND (total = (subtotal + tax_total)) AND (amount_due = (total - amount_paid))))
bills	fk_bills_journal_entry_id	f	FOREIGN KEY (journal_entry_id) REFERENCES journal_entries(id)
bills	fk_bills_vendor_id	f	FOREIGN KEY (vendor_id) REFERENCES vendors(id)
chart_of_accounts	chart_of_accounts_pkey	p	PRIMARY KEY (id)
chart_of_accounts	chart_of_accounts_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
chart_of_accounts	fk_chart_of_accounts_parent_account_id	f	FOREIGN KEY (parent_account_id) REFERENCES chart_of_accounts(id)
chart_of_accounts	fk_chart_of_accounts_tax_rate_id	f	FOREIGN KEY (tax_rate_id) REFERENCES payroll_tax_rates(id)
clients	clients_client_type_check	c	CHECK ((client_type = ANY (ARRAY['individual'::text, 'small_business'::text, 'corporate'::text, 'enterprise'::text, 'government'::text, 'nonprofit'::text])))
clients	clients_pkey	p	PRIMARY KEY (id)
clients	clients_status_check	c	CHECK ((status = ANY (ARRAY['prospect'::text, 'active'::text, 'inactive'::text, 'churned'::text])))
