# table	policy	command	roles	using	with_check
accounting_periods	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
accounting_periods	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
accounting_periods	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
accounting_periods	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
accounting_periods	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
audit_log	audit_visibility	SELECT	public	(( SELECT app.reads_all_audit() AS reads_all_audit) OR (entity_id = ( SELECT app.current_employee_id() AS current_employee_id)) OR (actor_employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
audit_log	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
bank_accounts	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
bank_accounts	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
bank_accounts	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
bank_accounts	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
bank_accounts	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
bank_reconciliation_rules	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
bank_reconciliation_rules	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
bank_reconciliation_rules	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
bank_reconciliation_rules	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
bank_reconciliation_rules	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
bank_transactions	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
bank_transactions	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
bank_transactions	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
bank_transactions	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
bank_transactions	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
bill_lines	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
bill_lines	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
bill_lines	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
bill_lines	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
bill_lines	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
bills	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
bills	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
bills	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
bills	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
bills	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
chart_of_accounts	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
chart_of_accounts	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
chart_of_accounts	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
chart_of_accounts	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
chart_of_accounts	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
clients	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
compensation_allowances	compensation_delete	DELETE	public	( SELECT app.writes_compensation() AS writes_compensation)	
compensation_allowances	compensation_insert	INSERT	public		( SELECT app.writes_compensation() AS writes_compensation)
compensation_allowances	compensation_update	UPDATE	public	( SELECT app.writes_compensation() AS writes_compensation)	( SELECT app.writes_compensation() AS writes_compensation)
compensation_allowances	compensation_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
compensation_allowances	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
compensation_base	compensation_delete	DELETE	public	( SELECT app.writes_compensation() AS writes_compensation)	
compensation_base	compensation_insert	INSERT	public		( SELECT app.writes_compensation() AS writes_compensation)
compensation_base	compensation_update	UPDATE	public	( SELECT app.writes_compensation() AS writes_compensation)	( SELECT app.writes_compensation() AS writes_compensation)
compensation_base	compensation_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
compensation_base	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
compensation_equity	compensation_delete	DELETE	public	( SELECT app.writes_compensation() AS writes_compensation)	
compensation_equity	compensation_insert	INSERT	public		( SELECT app.writes_compensation() AS writes_compensation)
compensation_equity	compensation_update	UPDATE	public	( SELECT app.writes_compensation() AS writes_compensation)	( SELECT app.writes_compensation() AS writes_compensation)
compensation_equity	compensation_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
compensation_equity	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
compensation_premiums	compensation_delete	DELETE	public	( SELECT app.writes_compensation() AS writes_compensation)	
compensation_premiums	compensation_insert	INSERT	public		( SELECT app.writes_compensation() AS writes_compensation)
compensation_premiums	compensation_update	UPDATE	public	( SELECT app.writes_compensation() AS writes_compensation)	( SELECT app.writes_compensation() AS writes_compensation)
compensation_premiums	compensation_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
compensation_premiums	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
compensation_variable	compensation_delete	DELETE	public	( SELECT app.writes_compensation() AS writes_compensation)	
compensation_variable	compensation_insert	INSERT	public		( SELECT app.writes_compensation() AS writes_compensation)
compensation_variable	compensation_update	UPDATE	public	( SELECT app.writes_compensation() AS writes_compensation)	( SELECT app.writes_compensation() AS writes_compensation)
compensation_variable	compensation_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
compensation_variable	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
compensation_work_schedules	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
cross_module_links	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
custom_field_definitions	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
customer_contacts	auth_admin_reads_contacts	SELECT	supabase_auth_admin	true	
customer_contacts	portal_contact_visibility	SELECT	public	((NOT ( SELECT app.is_portal_contact() AS is_portal_contact)) OR (customer_id = ( SELECT app.current_customer_id() AS current_customer_id)))	
customer_contacts	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
customers	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
employee_assets	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
employee_bank_accounts	pii_delete	DELETE	public	( SELECT app.writes_pii() AS writes_pii)	
employee_bank_accounts	pii_insert	INSERT	public		( SELECT app.writes_pii() AS writes_pii)
employee_bank_accounts	pii_update	UPDATE	public	( SELECT app.writes_pii() AS writes_pii)	( SELECT app.writes_pii() AS writes_pii)
employee_bank_accounts	pii_visibility	SELECT	public	(( SELECT app.reads_all_pii() AS reads_all_pii) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
employee_bank_accounts	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
employee_certifications	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
employee_group_members	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
employee_group_roles	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
employee_training_records	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
employee_user_groups	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
employees	employee_visibility	SELECT	public	(( SELECT app.reads_all_employees() AS reads_all_employees) OR (id = ( SELECT app.current_employee_id() AS current_employee_id)) OR (( SELECT app.claim_role() AS claim_role) = ANY (ARRAY['employee'::text, 'firm_admin'::text, 'owner'::text])))	
employees	employees_delete	DELETE	public	( SELECT app.writes_employees() AS writes_employees)	
employees	employees_insert	INSERT	public		( SELECT app.writes_employees() AS writes_employees)
employees	employees_update	UPDATE	public	( SELECT app.writes_employees() AS writes_employees)	( SELECT app.writes_employees() AS writes_employees)
employees	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
employment_terms	compensation_delete	DELETE	public	( SELECT app.writes_compensation() AS writes_compensation)	
employment_terms	compensation_insert	INSERT	public		( SELECT app.writes_compensation() AS writes_compensation)
employment_terms	compensation_update	UPDATE	public	( SELECT app.writes_compensation() AS writes_compensation)	( SELECT app.writes_compensation() AS writes_compensation)
employment_terms	compensation_visibility	SELECT	public	(( SELECT app.reads_all_compensation() AS reads_all_compensation) OR (employee_id = ( SELECT app.current_employee_id() AS current_employee_id)))	
employment_terms	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
exchange_rates	exchange_rates_read	SELECT	public	true	
expenses	accounting_delete	DELETE	public	( SELECT app.writes_accounting() AS writes_accounting)	
expenses	accounting_insert	INSERT	public		( SELECT app.writes_accounting() AS writes_accounting)
expenses	accounting_read	SELECT	public	( SELECT app.reads_all_accounting() AS reads_all_accounting)	
expenses	accounting_update	UPDATE	public	( SELECT app.writes_accounting() AS writes_accounting)	( SELECT app.writes_accounting() AS writes_accounting)
expenses	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
firm_benefit_items	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
firm_benefits_packages	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
firm_benefits_plans	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
firm_departments	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
firm_holidays	tenant_isolation	ALL	public	(tenant_id = app.current_tenant_id())	(tenant_id = app.current_tenant_id())
