# type	sort	label
account_type	1	asset
account_type	2	equity
account_type	3	expense
account_type	4	liability
account_type	5	revenue
activity_type	1	call
activity_type	2	demo
activity_type	3	email
activity_type	4	meeting
activity_type	5	note
activity_type	6	presentation
activity_type	7	task
allowance_type	1	housing
allowance_type	2	transportation
allowance_type	3	meal
allowance_type	4	phone
allowance_type	5	internet
allowance_type	6	education
allowance_type	7	fitness
allowance_type	8	childcare
allowance_type	9	parking
allowance_type	10	uniform
allowance_type	11	travel
allowance_type	12	relocation
allowance_type	13	car
allowance_type	14	fuel
allowance_type	15	other
billing_method	1	fixed
billing_method	2	hourly
billing_method	3	milestone
billing_method	4	retainer
billing_method	5	value_based
billing_status	1	active
billing_status	2	cancelled
billing_status	3	past_due
billing_status	4	suspended
billing_status	5	trial
budget_type	1	fixed_price
budget_type	2	milestone_based
budget_type	3	not_to_exceed
budget_type	4	retainer
budget_type	5	time_and_materials
change_reason	1	annual_review
change_reason	2	contract_renewal
change_reason	3	correction
change_reason	4	cost_of_living
change_reason	5	demotion
change_reason	6	equity_adjustment
change_reason	7	market_adjustment
change_reason	8	merit_increase
change_reason	9	new_hire
change_reason	10	promotion
change_reason	11	retention
change_reason	12	transfer
compensation_type	1	salary
compensation_type	2	hourly
compensation_type	3	daily
compensation_type	4	weekly
compensation_type	5	contract
contract_type	1	licensing
contract_type	2	msa
contract_type	3	nda
contract_type	4	partnership
contract_type	5	retainer_agreement
contract_type	6	service_agreement
contract_type	7	sow
coverage_level	1	employee_children
coverage_level	2	employee_family
coverage_level	3	employee_only
coverage_level	4	employee_spouse
eeoc_category	1	administrative_support
eeoc_category	2	craft_workers
eeoc_category	3	executive_senior_officials_managers
eeoc_category	4	first_mid_level_officials_managers
eeoc_category	5	laborers_helpers
eeoc_category	6	operatives
eeoc_category	7	professionals
eeoc_category	8	sales_workers
eeoc_category	9	service_workers
eeoc_category	10	technicians
employment_status	1	active
employment_status	2	deceased
employment_status	3	on_leave
employment_status	4	retired
employment_status	5	suspended
employment_status	6	terminated
employment_type	1	full_time
employment_type	2	part_time
employment_type	3	contractor
employment_type	4	intern
employment_type	5	temporary
employment_type	6	consultant
employment_type	7	freelance
equity_type	1	stock_options
equity_type	2	iso
equity_type	3	nso
equity_type	4	rsu
equity_type	5	restricted_stock
equity_type	6	phantom_stock
equity_type	7	sar
equity_type	8	espp
gender	1	female
gender	2	male
gender	3	non_binary
gender	4	other
gender	5	prefer_not_to_say
group_type	1	affinity
group_type	2	custom
group_type	3	department
group_type	4	functional
group_type	5	project
group_type	6	team
india_tax_regime	1	new_regime
india_tax_regime	2	old_regime
marital_status	1	divorced
marital_status	2	domestic_partnership
marital_status	3	married
marital_status	4	prefer_not_to_say
marital_status	5	separated
marital_status	6	single
marital_status	7	widowed
pay_frequency	1	annually
pay_frequency	2	bi-weekly
pay_frequency	3	monthly
pay_frequency	4	quarterly
pay_frequency	5	semi-monthly
pay_frequency	6	weekly
payment_method	1	cash
payment_method	2	check
payment_method	3	direct_deposit
payment_method	4	mobile_payment
payment_method	5	paycard
payment_method	6	wire_transfer
payment_status	1	cancelled
payment_status	2	completed
payment_status	3	failed
payment_status	4	pending
payment_status	5	processing
payment_status	6	refunded
period_type	1	bi_weekly
period_type	2	monthly
period_type	3	weekly
plan_tier	1	custom
plan_tier	2	enterprise
plan_tier	3	professional
plan_tier	4	starter
premium_type	1	shift_differential
premium_type	2	weekend
premium_type	3	holiday
premium_type	4	on_call
premium_type	5	hazard_pay
premium_type	6	geographic
premium_type	7	skill_based
premium_type	8	certification
project_type	1	client_project
project_type	2	internal
project_type	3	marketing_campaign
project_type	4	product_development
project_type	5	research
pronouns	1	he_him
pronouns	2	other
pronouns	3	prefer_not_to_say
pronouns	4	she_her
pronouns	5	they_them
pronouns	6	ze_hir
reimbursement_status	1	approved
reimbursement_status	2	cancelled
reimbursement_status	3	paid
reimbursement_status	4	pending
reimbursement_status	5	rejected
task_type	1	approval
task_type	2	bug
task_type	3	deliverable
task_type	4	feature
task_type	5	milestone
task_type	6	review
task_type	7	task
tax_type	1	customs
tax_type	2	excise
tax_type	3	gst
tax_type	4	none
tax_type	5	sales_tax
tax_type	6	use_tax
tax_type	7	vat
time_tracking_type	1	none
time_tracking_type	2	hours_only
time_tracking_type	3	clock_in_out
time_tracking_type	4	task_based
time_tracking_type	5	deliverable_based
variable_comp_type	1	commission
variable_comp_type	2	bonus
variable_comp_type	3	profit_sharing
variable_comp_type	4	sales_incentive
variable_comp_type	5	performance_bonus
variable_comp_type	6	spot_bonus
variable_comp_type	7	retention_bonus
vesting_type	1	time_based
vesting_type	2	milestone_based
vesting_type	3	performance_based
vesting_type	4	hybrid
vesting_type	5	cliff_then_monthly
vesting_type	6	cliff_then_quarterly
work_arrangement	1	standard
work_arrangement	2	flexible
work_arrangement	3	shift_based
work_arrangement	4	on_call
work_arrangement	5	project_based
work_arrangement	6	remote
work_arrangement	7	hybrid
work_authorization_type	1	citizen
work_authorization_type	2	ead
work_authorization_type	3	h1b
work_authorization_type	4	other
work_authorization_type	5	permanent_resident
work_authorization_type	6	student_visa
work_authorization_type	7	tn
work_authorization_type	8	work_visa
