# table	grantee	privileges
accounting_periods	app_user	INSERT,SELECT,UPDATE
accounting_periods	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
audit_log	app_user	INSERT,SELECT
audit_log	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
bank_accounts	app_user	INSERT,SELECT,UPDATE
bank_accounts	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
bank_reconciliation_rules	app_user	INSERT,SELECT,UPDATE
bank_reconciliation_rules	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
bank_transactions	app_user	INSERT,SELECT,UPDATE
bank_transactions	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
bill_lines	app_user	INSERT,SELECT,UPDATE
bill_lines	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
bills	app_user	INSERT,SELECT,UPDATE
bills	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
chart_of_accounts	app_user	INSERT,SELECT,UPDATE
chart_of_accounts	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
clients	app_user	INSERT,SELECT,UPDATE
clients	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_allowances	app_user	INSERT,SELECT,UPDATE
compensation_allowances	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_base	app_user	INSERT,SELECT,UPDATE
compensation_base	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_equity	app_user	INSERT,SELECT,UPDATE
compensation_equity	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_premiums	app_user	INSERT,SELECT,UPDATE
compensation_premiums	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_variable	app_user	INSERT,SELECT,UPDATE
compensation_variable	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
compensation_work_schedules	app_user	INSERT,SELECT,UPDATE
compensation_work_schedules	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
cross_module_links	app_user	INSERT,SELECT,UPDATE
cross_module_links	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
custom_field_definitions	app_user	INSERT,SELECT,UPDATE
custom_field_definitions	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
customers	app_user	INSERT,SELECT,UPDATE
customers	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_assets	app_user	INSERT,SELECT,UPDATE
employee_assets	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_bank_accounts	app_user	INSERT,SELECT,UPDATE
employee_bank_accounts	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_certifications	app_user	INSERT,SELECT,UPDATE
employee_certifications	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_group_members	app_user	INSERT,SELECT,UPDATE
employee_group_members	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_group_roles	app_user	INSERT,SELECT,UPDATE
employee_group_roles	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_training_records	app_user	INSERT,SELECT,UPDATE
employee_training_records	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employee_user_groups	app_user	INSERT,SELECT,UPDATE
employee_user_groups	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employees	app_user	INSERT,SELECT,UPDATE
employees	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
employment_terms	app_user	INSERT,SELECT,UPDATE
employment_terms	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
exchange_rates	app_user	INSERT,SELECT,UPDATE
exchange_rates	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
expenses	app_user	INSERT,SELECT,UPDATE
expenses	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_benefit_items	app_user	INSERT,SELECT,UPDATE
firm_benefit_items	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_benefits_packages	app_user	INSERT,SELECT,UPDATE
firm_benefits_packages	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_benefits_plans	app_user	INSERT,SELECT,UPDATE
firm_benefits_plans	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_departments	app_user	INSERT,SELECT,UPDATE
firm_departments	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_holidays	app_user	INSERT,SELECT,UPDATE
firm_holidays	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_job_levels	app_user	INSERT,SELECT,UPDATE
firm_job_levels	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_job_titles	app_user	INSERT,SELECT,UPDATE
firm_job_titles	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_locations	app_user	INSERT,SELECT,UPDATE
firm_locations	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
firm_payroll_policies	app_user	INSERT,SELECT,UPDATE
firm_payroll_policies	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_attendance	app_user	INSERT,SELECT,UPDATE
hr_attendance	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_benefits_enrollments	app_user	INSERT,SELECT,UPDATE
hr_benefits_enrollments	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_change_requests	app_user	INSERT,SELECT,UPDATE
hr_change_requests	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_company_news	app_user	INSERT,SELECT,UPDATE
hr_company_news	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_emergency_contacts	app_user	INSERT,SELECT,UPDATE
hr_emergency_contacts	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_employee_documents	app_user	INSERT,SELECT,UPDATE
hr_employee_documents	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_employment_history	app_user	INSERT,SELECT,UPDATE
hr_employment_history	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_feedback	app_user	INSERT,SELECT,UPDATE
hr_feedback	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_goals	app_user	INSERT,SELECT,UPDATE
hr_goals	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_onboarding_tasks	app_user	INSERT,SELECT,UPDATE
hr_onboarding_tasks	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_onboarding_template_tasks	app_user	INSERT,SELECT,UPDATE
hr_onboarding_template_tasks	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_onboarding_templates	app_user	INSERT,SELECT,UPDATE
hr_onboarding_templates	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_review_cycles	app_user	INSERT,SELECT,UPDATE
hr_review_cycles	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_reviews	app_user	INSERT,SELECT,UPDATE
hr_reviews	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_survey_responses	app_user	INSERT,SELECT,UPDATE
hr_survey_responses	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_surveys	app_user	INSERT,SELECT,UPDATE
hr_surveys	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_time_off_balances	app_user	INSERT,SELECT,UPDATE
hr_time_off_balances	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_time_off_policies	app_user	INSERT,SELECT,UPDATE
hr_time_off_policies	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_time_off_requests	app_user	INSERT,SELECT,UPDATE
hr_time_off_requests	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
invoice_lines	app_user	INSERT,SELECT,UPDATE
invoice_lines	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
invoices	app_user	INSERT,SELECT,UPDATE
invoices	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
jobs	app_user	DELETE,INSERT,SELECT,UPDATE
jobs	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
journal_entries	app_user	INSERT,SELECT,UPDATE
journal_entries	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
journal_entry_lines	app_user	INSERT,SELECT,UPDATE
journal_entry_lines	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payment_allocations	app_user	INSERT,SELECT,UPDATE
payment_allocations	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payments	app_user	INSERT,SELECT,UPDATE
payments	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_deduction_definitions	app_user	INSERT,SELECT,UPDATE
payroll_deduction_definitions	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_employee_deductions	app_user	INSERT,SELECT,UPDATE
payroll_employee_deductions	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_india_salary_structure	app_user	INSERT,SELECT,UPDATE
payroll_india_salary_structure	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_india_tax_declarations	app_user	INSERT,SELECT,UPDATE
payroll_india_tax_declarations	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_pay_schedules	app_user	INSERT,SELECT,UPDATE
payroll_pay_schedules	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_run_employees	app_user	INSERT,SELECT,UPDATE
payroll_run_employees	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_runs	app_user	INSERT,SELECT,UPDATE
payroll_runs	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_tax_deposits	app_user	INSERT,SELECT,UPDATE
payroll_tax_deposits	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_tax_rates	app_user	INSERT,SELECT,UPDATE
payroll_tax_rates	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_tax_withholding_certificates	app_user	INSERT,SELECT,UPDATE
payroll_tax_withholding_certificates	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pii_erasures	app_user	INSERT,SELECT,UPDATE
pii_erasures	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pii_keys	app_user	DELETE,INSERT,SELECT,UPDATE
pii_keys	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pm_automation_executions	app_user	INSERT,SELECT,UPDATE
pm_automation_executions	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pm_automations	app_user	INSERT,SELECT,UPDATE
pm_automations	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pm_dashboard_widgets	app_user	INSERT,SELECT,UPDATE
pm_dashboard_widgets	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pm_dashboards	app_user	INSERT,SELECT,UPDATE
pm_dashboards	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pm_objectives	app_user	INSERT,SELECT,UPDATE
pm_objectives	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pm_project_templates	app_user	INSERT,SELECT,UPDATE
pm_project_templates	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pm_task_attachments	app_user	INSERT,SELECT,UPDATE
pm_task_attachments	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
pm_task_comments	app_user	INSERT,SELECT,UPDATE
pm_task_comments	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
projects	app_user	INSERT,SELECT,UPDATE
projects	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
tasks	app_user	INSERT,SELECT,UPDATE
