# schema	function	args	returns	volatility	security_definer	body_sha256
app	current_employee_id		uuid	s	f	1709928f2d7e95a8e3401759644532a7d89b1251f1cf94b8261d52578a4d2d8a
app	current_tenant_id		uuid	s	f	d16e70b3fa064c5568c93bc94da938dfc109d1bb754ec730355c16c0cc006d0c
app	reads_all_compensation		boolean	s	f	8706e1abbc00eb0e5b1ef87332fd999360cb81329f4524d68457a50f1df21850
app	reads_all_employees		boolean	s	f	0bc34656ce99f65b6fd729ec4ed0a99f27d329c0ad6728e757f25b782fb03d90
app	reads_all_performance		boolean	s	f	d822afd56a84ad2ce5fafa008c5a8c23c05e8b7dac523ea9d5c8eced8f11a624
app	reads_all_pii		boolean	s	f	f0f7b0d36fab945c1a81af775bcd7dd3b132cc041467aaad4df2a775a44b8bab
app	set_updated_at		trigger	v	f	db556e72a201642c839b1a50f42540dce21a131ffc577af7c270340f4473af8c
public	custom_access_token_hook	event jsonb	jsonb	s	f	251a1b3218f4e03ce8032d5ee1fd11a022d19edeeb7960e41561e941cdbd760a
public	handle_new_user		trigger	v	t	5bd5e33853951e38a93391cdd53b9df77f912affdb7611336ba96a2e215e39df
public	ticketing_tickets_search_update		trigger	v	f	1c8960ec9a7d6791f01dd70d8b794217693004f7b06880da1368ce2dea56aabf
public	ticketing_updates_search_update		trigger	v	f	4061d634a15cfcba78436202301260e43fa2aa53748a68b39df4f4fa858ca433
